,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,Stanley Morgan 22 yard pass from Tony Eason (Tony Franklin kick),7,0
1,2.0,Patriots,Tony Franklin 47 yard field goal,10,0
2,2.0,Dolphins,Fuad Reveiz 42 yard field goal,10,3
3,2.0,Patriots,Tony Franklin 44 yard field goal,13,3
4,2.0,Dolphins,Bruce Hardy 1 yard pass from Dan Marino (Fuad Reveiz kick),13,10
5,3.0,Dolphins,Fuad Reveiz 21 yard field goal,13,13
6,3.0,Dolphins,Mark Clayton 32 yard pass from Dan Marino (Fuad Reveiz kick),13,20
7,3.0,Patriots,Steve Grogan 7 yard rush (Tony Franklin kick),20,20
8,4.0,Dolphins,Mark Clayton 19 yard pass from Dan Marino (Fuad Reveiz kick),20,27
9,4.0,Patriots,Tony Collins 12 yard pass from Steve Grogan (Tony Franklin kick),27,27
10,4.0,Patriots,Stanley Morgan 30 yard pass from Steve Grogan (Tony Franklin kick),34,27
