,Quarter,Tm,Detail,KEN,DUL
0,1.0,Kelleys,"Safety,",0,2
1,1.0,Kelleys,Russ Method unknown yard rush (Wally Gilbert kick),0,9
2,2.0,Kelleys,Wally Gilbert unknown yard field goal,0,12
3,3.0,Kelleys,Bill Rooney unknown yard pass from Cobb Rooney,0,18
4,4.0,Kelleys,Wally Gilbert 65 yard interception return (Wally Gilbert kick),0,25
5,4.0,Kelleys,Joe Rooney 35 yard interception return (Wally Gilbert kick),0,32
