,Quarter,Tm,Detail,NWE,BUF
0,1.0,Bills,Nick Mike-Mayer 39 yard field goal,0,3
1,1.0,Bills,Nick Mike-Mayer 40 yard field goal,0,6
2,2.0,Patriots,Horace Ivory 6 yard pass from Steve Grogan,6,6
3,3.0,Patriots,John Smith 33 yard field goal,9,6
4,3.0,Patriots,Stanley Morgan 63 yard pass from Steve Grogan (John Smith kick),16,6
5,4.0,Patriots,Stanley Morgan 34 yard pass from Steve Grogan (John Smith kick),23,6
6,4.0,Patriots,John Smith 37 yard field goal,26,6
