,Quarter,Tm,Detail,GNB,PIT
0,1.0,Steelers,Joe Hoague 1 yard rush (Armand Niccolai kick),0,7
1,2.0,Packers,Clarke Hinkle 3 yard rush,6,7
2,2.0,Packers,Don Hutson 8 yard pass from Cecil Isbell,12,7
3,2.0,Packers,Clarke Hinkle 1 yard rush (Don Hutson kick),19,7
4,2.0,Packers,Ernie Pannell 26 yard fumble return (Don Hutson kick),26,7
5,3.0,Packers,Alex Urban 12 yard pass from Tony Canadeo (Bob Adkins kick),33,7
6,4.0,Packers,Hal Van Every 5 yard rush (Bob Adkins kick),40,7
7,4.0,Packers,Hal Van Every 31 yard rush (Bob Adkins kick),47,7
8,4.0,Packers,Hal Van Every 86 yard interception return (Herm Rohrig kick),54,7
