,Quarter,Time,Tm,Detail,DEN,MIN
0,1.0,11:36,Broncos,Brandon McManus 47 yard field goal,3,0
1,1.0,4:43,Broncos,Troy Fumagalli 3 yard pass from Brandon Allen (Brandon McManus kick),10,0
2,2.0,12:28,Broncos,Andy Janovich 1 yard rush (Brandon McManus kick),17,0
3,2.0,1:10,Broncos,Brandon McManus 29 yard field goal,20,0
4,3.0,11:34,Vikings,Irv Smith Jr. 10 yard pass from Kirk Cousins (Dan Bailey kick),20,7
5,3.0,4:27,Broncos,Brandon McManus 41 yard field goal,23,7
6,4.0,13:30,Vikings,Dalvin Cook 3 yard rush (pass failed),23,13
7,4.0,10:29,Vikings,Stefon Diggs 54 yard pass from Kirk Cousins (Dan Bailey kick),23,20
8,4.0,6:10,Vikings,Kyle Rudolph 32 yard pass from Kirk Cousins (Dan Bailey kick),23,27
