,Quarter,Time,Tm,Detail,DET,TAM
0,1,2:06,Lions,Nate Burleson 10 yard pass from Drew Stanton (Dave Rayner kick),7,0
1,2,12:29,Buccaneers,Mike Williams 24 yard pass from Josh Freeman (Connor Barth kick),7,7
2,2,3:41,Buccaneers,LeGarrette Blount 39 yard rush (Connor Barth kick),7,14
3,2,0:55,Lions,Dave Rayner 41 yard field goal,10,14
4,3,10:16,Lions,Maurice Morris 10 yard rush (Dave Rayner kick),17,14
5,4,8:51,Buccaneers,Connor Barth 30 yard field goal,17,17
6,4,1:39,Buccaneers,Connor Barth 26 yard field goal,17,20
7,4,0:00,Lions,Dave Rayner 28 yard field goal,20,20
8,OT,9:51,Lions,Dave Rayner 34 yard field goal,23,20
