,Quarter,Tm,Detail,WAS,CLE
0,2.0,Browns,Lou Groza 30 yard field goal,0,3
1,2.0,Browns,Dante Lavelli 4 yard pass from Otto Graham (Lou Groza kick),0,10
2,2.0,Redskins,Hall Haynes 40 yard interception return (Bill Dudley kick),7,10
3,2.0,Browns,Lou Groza 13 yard field goal,7,13
4,3.0,Redskins,Rob Goode 2 yard rush (Bill Dudley kick),14,13
5,4.0,Browns,Don Phelps 8 yard rush (Lou Groza kick),14,20
