,Quarter,Time,Tm,Detail,NYG,CHI
0,1,10:38,Giants,Ron Dixon 34 yard pass from Kerry Collins (Brad Daluiso kick),7,0
1,2,0:14,Bears,Eddie Kennison 2 yard pass from Cade McNown (Paul Edinger kick),7,7
2,3,5:26,Giants,Tiki Barber 3 yard rush (Brad Daluiso kick),14,7
