,Quarter,Tm,Detail,KAN,NYG
0,1.0,Giants,Mark Ingram 21 yard pass from Jeff Hostetler (Ken Willis kick),0,7
1,1.0,Giants,Rodney Hampton 2 yard rush (Ken Willis kick),0,14
2,2.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),7,14
3,2.0,Giants,Chris Calloway 15 yard pass from Jeff Hostetler (Ken Willis kick),7,21
4,3.0,Giants,Rodney Hampton 1 yard rush (Ken Willis kick),7,28
5,3.0,Giants,Rodney Hampton 20 yard rush (Ken Willis kick),7,35
6,3.0,Chiefs,Tim Barnett 77 yard pass from Dave Krieg (Nick Lowery kick),14,35
7,4.0,Chiefs,Tracy Rogers special teams fumble recovery in end zone (Nick Lowery kick),21,35
