,Quarter,Time,Tm,Detail,ATL,SFO
0,1.0,7:56,49ers,Phil Dawson 49 yard field goal,0,3
1,2.0,9:53,Falcons,Steven Jackson 2 yard rush (Matt Bryant kick),7,3
2,2.0,0:05,Falcons,Matt Bryant 35 yard field goal,10,3
3,3.0,12:03,49ers,Anquan Boldin 10 yard pass from Colin Kaepernick (Phil Dawson kick),10,10
4,3.0,3:16,49ers,Phil Dawson 30 yard field goal,10,13
5,4.0,12:34,49ers,Colin Kaepernick 4 yard rush (Phil Dawson kick),10,20
6,4.0,8:34,Falcons,Roddy White 39 yard pass from Matt Ryan (Matt Bryant kick),17,20
7,4.0,5:04,49ers,Frank Gore 1 yard rush (Phil Dawson kick),17,27
8,4.0,2:09,Falcons,Tony Gonzalez 2 yard pass from Matt Ryan (Matt Bryant kick),24,27
9,4.0,1:10,49ers,NaVorro Bowman 89 yard interception return (Phil Dawson kick),24,34
