,Quarter,Tm,Detail,BOS,DET
0,1,Lions,John Schneller 40 yard pass from Ernie Caddel (Frank Christensen kick),0,7
1,4,Lions,Ace Gutowsky 1 yard rush (Dutch Clark kick),0,14
