,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,Emery Moorehead 11 yard pass from Jim McMahon (Bob Thomas kick),7,0
1,1.0,Bears,Bob Thomas 41 yard field goal,10,0
2,1.0,Bears,Walter Payton 2 yard rush (Bob Thomas kick),17,0
3,1.0,Rams,George Farmer 38 yard pass from Vince Ferragamo,17,6
4,2.0,Bears,Bob Thomas 31 yard field goal,20,6
5,2.0,Rams,Wendell Tyler 7 yard pass from Vince Ferragamo (Mike Lansford kick),20,13
6,2.0,Rams,Mike Lansford 29 yard field goal,20,16
7,3.0,Bears,Matt Suhey 3 yard rush (Bob Thomas kick),27,16
8,3.0,Rams,Mike Lansford 37 yard field goal,27,19
9,4.0,Rams,Preston Dennard 4 yard pass from Vince Ferragamo (Mike Lansford kick),27,26
10,4.0,Bears,Ken Margerum 10 yard pass from Jim McMahon (Bob Thomas kick),34,26
