,Quarter,Tm,Detail,SEA,HOU
0,1.0,Seahawks,Efren Herrera 32 yard field goal,3,0
1,2.0,Seahawks,Sam McCullum 22 yard pass from Jim Zorn (Efren Herrera kick),10,0
2,2.0,Seahawks,Efren Herrera 33 yard field goal,13,0
3,2.0,Seahawks,Sam McCullum 24 yard pass from Jim Zorn (Efren Herrera kick),20,0
4,2.0,Seahawks,Efren Herrera 50 yard field goal,23,0
5,3.0,Seahawks,Efren Herrera 44 yard field goal,26,0
6,4.0,Oilers,Mike Barber 22 yard pass from Ken Stabler (Toni Fritsch kick),26,7
