,Quarter,Tm,Detail,PRT,CHI
0,1.0,Bears,Keith Molesworth 7 yard rush (Tiny Engebretsen kick),0,7
1,2.0,Spartans,Glenn Presnell 2 yard pass from Dutch Clark,6,7
2,2.0,Spartans,Ace Gutowsky 2 yard rush (Dutch Clark kick),13,7
3,4.0,Bears,Bronko Nagurski 1 yard rush,13,13
