,Quarter,Tm,Detail,CRD,FRN
0,2.0,Cardinals,Ike Mahoney 1 yard rush (Evar Swanson kick),7,0
1,3.0,Yellow Jackets,Ben Jones unknown yard rush (Hap Moran kick),7,7
2,3.0,Yellow Jackets,Hap Moran unknown yard rush (Hap Moran kick),7,14
3,4.0,Yellow Jackets,Hap Moran 17 yard rush,7,20
4,4.0,Yellow Jackets,Ned Wilcox 2 yard rush (Hap Moran kick),7,27
5,4.0,Yellow Jackets,Ned Wilcox interception in end zone,7,33
