,Quarter,Tm,Detail,CLE,DAL
0,1.0,Browns,Ernie Green 1 yard rush (Lou Groza kick),7,0
1,2.0,Cowboys,Dick Van Raaphorst 34 yard field goal,7,3
2,2.0,Browns,Lou Groza 34 yard field goal,10,3
3,2.0,Browns,Lou Groza 30 yard field goal,13,3
4,2.0,Cowboys,Dick Van Raaphorst 20 yard field goal,13,6
5,3.0,Cowboys,Dick Van Raaphorst 37 yard field goal,13,9
6,3.0,Cowboys,Don Perkins 1 yard rush (Dick Van Raaphorst kick),13,16
7,4.0,Browns,Bernie Parrish 54 yard interception return (Lou Groza kick),20,16
