,Quarter,Tm,Detail,PIT,KAN
0,1,Steelers,Adrian Cooper 10 yard pass from Neil O'Donnell (Gary Anderson kick),7,0
1,1,Chiefs,J.J. Birden 23 yard pass from Dave Krieg (Nick Lowery kick),7,7
2,2,Steelers,Gary Anderson 30 yard field goal,10,7
3,2,Steelers,Ernie Mills 26 yard pass from Neil O'Donnell (Gary Anderson kick),17,7
4,3,Chiefs,Nick Lowery 23 yard field goal,17,10
5,4,Chiefs,Marcus Allen 2 yard rush (Nick Lowery kick),17,17
6,4,Steelers,Eric Green 22 yard pass from Neil O'Donnell (Gary Anderson kick),24,17
7,4,Chiefs,Tim Barnett 7 yard pass from Joe Montana (Nick Lowery kick),24,24
8,OT,Chiefs,Nick Lowery 32 yard field goal,24,27
