,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Lorenzo Hampton 54 yard rush (Fuad Reveiz kick),0,7
1,2.0,Dolphins,Lorenzo Hampton 1 yard rush (Fuad Reveiz kick),0,14
2,2.0,Dolphins,Lorenzo Hampton 1 yard pass from Dan Marino (Fuad Reveiz kick),0,21
3,3.0,Dolphins,Nat Moore 22 yard pass from Dan Marino (Fuad Reveiz kick),0,28
4,3.0,Jets,Pat Leahy 45 yard field goal,3,28
5,3.0,Dolphins,Fuad Reveiz 39 yard field goal,3,31
6,4.0,Dolphins,Bruce Hardy 1 yard pass from Dan Marino (Fuad Reveiz kick),3,38
7,4.0,Dolphins,Nat Moore 21 yard pass from Dan Marino (Fuad Reveiz kick),3,45
