,Quarter,Tm,Detail,HOU,BUF
0,1.0,Oilers,Mark Moseley 44 yard field goal,3,0
1,2.0,Oilers,Mark Moseley 44 yard field goal,6,0
2,3.0,Oilers,Ken Houston 17 yard interception return (Mark Moseley kick),13,0
3,4.0,Bills,O.J. Simpson 6 yard rush (John Leypoldt kick),13,7
4,4.0,Bills,Haven Moses 14 yard pass from Dennis Shaw (John Leypoldt kick),13,14
5,4.0,Oilers,Robert Holmes 2 yard rush (Mark Moseley kick),20,14
