,Quarter,Tm,Detail,OAK,CLE
0,2.0,Browns,Ron Bolton 42 yard interception return,0,6
1,2.0,Raiders,Mark van Eeghen 1 yard rush (Chris Bahr kick),7,6
2,3.0,Browns,Don Cockroft 30 yard field goal,7,9
3,3.0,Browns,Don Cockroft 30 yard field goal,7,12
4,4.0,Raiders,Mark van Eeghen 1 yard rush (Chris Bahr kick),14,12
