,Quarter,Time,Tm,Detail,TAM,MIN
0,1.0,,Vikings,Cris Carter 1 yard pass from Brad Johnson (Gary Anderson kick),0,7
1,1.0,,Vikings,Randy Moss 48 yard pass from Brad Johnson (Gary Anderson kick),0,14
2,2.0,,Vikings,Randy Moss 31 yard pass from Brad Johnson (Gary Anderson kick),0,21
3,3.0,,Buccaneers,Lorenzo Neal 3 yard pass from Trent Dilfer (Michael Husted kick),7,21
4,4.0,,Vikings,Gary Anderson 43 yard field goal,7,24
5,4.0,,Vikings,Cris Carter 18 yard pass from Brad Johnson (Gary Anderson kick),7,31
