,Quarter,Time,Tm,Detail,DET,STL
0,1.0,12:31,Rams,Jeff Wilkins 42 yard field goal,0,3
1,1.0,8:21,Rams,Jeff Wilkins 19 yard field goal,0,6
2,1.0,4:48,Lions,Jason Hanson 29 yard field goal,3,6
3,1.0,1:08,Rams,Joe Klopfenstein 16 yard pass from Marc Bulger (Jeff Wilkins kick),3,13
4,2.0,8:49,Lions,Mike Furrey 1 yard pass from Jon Kitna (Jason Hanson kick),10,13
5,2.0,1:12,Lions,Mike Furrey 10 yard pass from Jon Kitna (Jason Hanson kick),17,13
6,2.0,0:04,Rams,Jeff Wilkins 46 yard field goal,17,16
7,3.0,11:18,Rams,Torry Holt 16 yard pass from Marc Bulger (Jeff Wilkins kick),17,23
8,3.0,8:08,Lions,Jason Hanson 20 yard field goal,20,23
9,3.0,4:23,Lions,Kevin Jones 35 yard rush (Jason Hanson kick),27,23
10,3.0,0:44,Rams,Steven Jackson 1 yard rush (Jeff Wilkins kick),27,30
11,4.0,11:11,Lions,Kevin Jones 7 yard rush (Jason Hanson kick),34,30
12,4.0,6:16,Rams,Jeff Wilkins 47 yard field goal,34,33
13,4.0,1:56,Rams,Isaac Bruce 5 yard pass from Marc Bulger (Isaac Bruce pass from Marc Bulger),34,41
