,Quarter,Tm,Detail,HOU,MIA
0,1.0,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),0,7
1,1.0,Dolphins,Mercury Morris 2 yard rush,0,13
2,2.0,Dolphins,Larry Csonka 4 yard rush (Garo Yepremian kick),0,20
3,3.0,Dolphins,Bob Griese 2 yard rush (Garo Yepremian kick),0,27
4,3.0,Oilers,Charlie Joiner 82 yard pass from Dan Pastorini,6,27
5,3.0,Oilers,Willie Rodgers 1 yard rush (Skip Butler kick),13,27
6,4.0,Dolphins,Jim Kiick 6 yard pass from Bob Griese (Garo Yepremian kick),13,34
