,Quarter,Tm,Detail,RAM,BKN
0,2.0,Rams,George Platukis 33 yard fumble return (Chet Adams kick),7,0
1,3.0,Rams,Parker Hall 9 yard rush (Chet Adams kick),14,0
2,3.0,Rams,Chet Adams 36 yard field goal,17,0
