,Quarter,Tm,Detail,SFO,SEA
0,1.0,49ers,Steve Mike-Mayer 45 yard field goal,3,0
1,1.0,49ers,Ralph McGill 50 yard punt return (Steve Mike-Mayer kick),10,0
2,1.0,49ers,Gene Washington 38 yard pass from Jim Plunkett (Steve Mike-Mayer kick),17,0
3,1.0,Seahawks,Hugh McKinnis 1 yard rush (Don Bitterlich kick),17,7
4,2.0,49ers,Gene Washington 15 yard pass from Jim Plunkett (Steve Mike-Mayer kick),24,7
5,2.0,49ers,Willie McGee 52 yard pass from Jim Plunkett (Steve Mike-Mayer kick),31,7
6,3.0,Seahawks,Hugh McKinnis 1 yard rush (Don Bitterlich kick),31,14
7,4.0,Seahawks,Steve Largent 6 yard pass from Jim Zorn (Don Bitterlich kick),31,21
8,4.0,49ers,Steve Mike-Mayer 45 yard field goal,34,21
9,4.0,49ers,Steve Mike-Mayer 31 yard field goal,37,21
