,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Dan Ross 16 yard pass from Ken Anderson (Jim Breech kick),0,7
1,1.0,Oilers,Florian Kempf 34 yard field goal,3,7
2,1.0,Bengals,Cris Collinsworth 45 yard pass from Ken Anderson (Jim Breech kick),3,14
3,1.0,Bengals,Jim Breech 26 yard field goal,3,17
4,2.0,Bengals,Pete Johnson 12 yard rush (Jim Breech kick),3,24
5,2.0,Bengals,Pete Johnson 10 yard rush (Jim Breech kick),3,31
6,2.0,Bengals,Dan Ross 1 yard pass from Ken Anderson (Jim Breech kick),3,38
7,4.0,Oilers,Walt Arnold 14 yard pass from Oliver Luck (Florian Kempf kick),10,38
