,Quarter,Time,Tm,Detail,MIN,SEA
0,1.0,,Seahawks,Todd Peterson 54 yard field goal,0,3
1,1.0,,Seahawks,Lamar Smith 1 yard rush (Todd Peterson kick),0,10
2,2.0,,Seahawks,Todd Peterson 38 yard field goal,0,13
3,2.0,,Vikings,Jake Reed 38 yard pass from Warren Moon (Scott Sisson kick),7,13
4,2.0,,Seahawks,Joey Galloway 7 yard pass from John Friesz (Lamar Smith run),7,21
5,2.0,,Seahawks,Steve Broussard 26 yard rush (Todd Peterson kick),7,28
6,3.0,,Seahawks,Chris Warren 1 yard rush (Todd Peterson kick),7,35
7,4.0,,Seahawks,Ricky Proehl 22 yard pass from John Friesz (Todd Peterson kick),7,42
8,4.0,,Vikings,Brad Johnson 1 yard rush (Andrew Jordan pass from Brad Johnson ),15,42
9,4.0,,Vikings,Jake Reed 14 yard pass from Brad Johnson (Chris Walsh pass from Brad Johnson ),23,42
