,Quarter,Tm,Detail,NYG,CHI
0,1.0,Giants,Darrell Dess 1 yard rush (Pete Gogolak kick),7,0
1,2.0,Bears,Ronnie Bull 23 yard pass from Larry Rakestraw (Mac Percival kick),7,7
2,2.0,Bears,Johnny Morris 6 yard pass from Larry Rakestraw (Mac Percival kick),7,14
3,2.0,Bears,Larry Rakestraw 1 yard rush,7,20
4,3.0,Bears,Dick Gordon 17 yard pass from Larry Rakestraw (Mac Percival kick),7,27
5,4.0,Bears,Larry Rakestraw 12 yard rush (Mac Percival kick),7,34
