,Quarter,Time,Tm,Detail,GNB,PHI
0,1.0,7:16,Eagles,David Akers 44 yard field goal,0,3
1,1.0,6:54,Eagles,Brian Westbrook 27 yard rush (David Akers kick),0,10
2,1.0,5:45,Packers,Samkon Gado 33 yard rush (Ryan Longwell kick),7,10
3,2.0,0:35,Packers,David Martin 13 yard pass from Brett Favre (Ryan Longwell kick),14,10
4,3.0,6:40,Eagles,David Akers 38 yard field goal,14,13
5,4.0,4:31,Eagles,David Akers 37 yard field goal,14,16
6,4.0,1:49,Eagles,David Akers 33 yard field goal,14,19
