,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Tony Franklin 23 yard field goal,0,3
1,2.0,Eagles,Tony Franklin 47 yard field goal,0,6
2,2.0,Cardinals,Wayne Morris 1 yard rush,6,6
3,3.0,Eagles,Tony Franklin 31 yard field goal,6,9
4,3.0,Cardinals,Wayne Morris 1 yard rush (Steve Little kick),13,9
5,4.0,Eagles,Keith Krepfle 40 yard pass from Ron Jaworski (Tony Franklin kick),13,16
