,Quarter,Tm,Detail,PHI,DET
0,1.0,Lions,James Jones 4 yard pass from Gary Danielson (Eddie Murray kick),0,7
1,1.0,Eagles,Paul McFadden 52 yard field goal,3,7
2,2.0,Lions,Gary Danielson 22 yard pass from James Jones (Eddie Murray kick),3,14
3,2.0,Lions,Eddie Murray 32 yard field goal,3,17
4,2.0,Eagles,Paul McFadden 51 yard field goal,6,17
5,3.0,Eagles,Mike Quick 68 yard pass from Ron Jaworski (Paul McFadden kick),13,17
6,4.0,Lions,Eddie Murray 33 yard field goal,13,20
7,4.0,Eagles,Michael Haddix 2 yard rush (Paul McFadden kick),20,20
8,4.0,Lions,Eddie Murray 18 yard field goal,20,23
9,4.0,Eagles,Paul McFadden 40 yard field goal,23,23
