,Quarter,Time,Tm,Detail,MIN,DEN
0,1.0,12:12,Broncos,Derek Loville 36 yard rush (Jason Elam kick),0,7
1,1.0,10:37,Broncos,"Safety, Pryce sacked George in end zone",0,9
2,1.0,5:59,Broncos,Jason Elam 19 yard field goal,0,12
3,2.0,7:06,Vikings,Orlando Thomas 27 yard interception return (Gary Anderson kick),7,12
4,2.0,3:28,Vikings,Cris Carter 37 yard pass from Jeff George (pass failed),13,12
5,4.0,12:45,Vikings,Cris Carter 16 yard pass from Jeff George (Gary Anderson kick),20,12
6,4.0,5:09,Broncos,Byron Chamberlain 1 yard pass from Brian Griese (Olandis Gary run),20,20
7,4.0,0:01,Vikings,Gary Anderson 23 yard field goal,23,20
