,Quarter,Time,Tm,Detail,ATL,MIN
0,1.0,7:43,Vikings,Kevin Williams 54 yard interception return (Ryan Longwell kick),0,7
1,3.0,1:46,Vikings,Ryan Longwell 49 yard field goal,0,10
2,4.0,9:23,Falcons,Matt Prater 45 yard field goal,3,10
3,4.0,7:19,Vikings,Adrian Peterson 60 yard pass from Tarvaris Jackson (Ryan Longwell kick),3,17
4,4.0,2:37,Vikings,Antoine Winfield 14 yard interception return (Ryan Longwell kick),3,24
