,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Leroy Keyes 2 yard rush (Sam Baker kick),0,7
1,1.0,Redskins,Charley Taylor 12 yard pass from Sonny Jurgensen (Curt Knight kick),7,7
2,2.0,Eagles,Harold Jackson 29 yard pass from Norm Snead (Sam Baker kick),7,14
3,2.0,Eagles,"Safety, Jurgensen tackled in the end zone by Tom",7,16
4,2.0,Redskins,Curt Knight 12 yard field goal,10,16
5,2.0,Redskins,Curt Knight 43 yard field goal,13,16
6,3.0,Eagles,Sam Baker 47 yard field goal,13,19
7,3.0,Redskins,John Hoffman defensive fumble recovery in end zone (Curt Knight kick),20,19
8,4.0,Eagles,Sam Baker 19 yard field goal,20,22
9,3.0,Redskins,Jerry Smith 25 yard pass from Sonny Jurgensen (Curt Knight kick),27,22
10,4.0,Redskins,Larry Brown 1 yard rush (Curt Knight kick),34,22
11,4.0,Eagles,Harold Jackson 10 yard pass from Norm Snead (Sam Baker kick),34,29
