,Quarter,Tm,Detail,SFO,RAI
0,1.0,49ers,Mike Cofer 23 yard field goal,3,0
1,2.0,Raiders,Jeff Jaeger 44 yard field goal,3,3
2,2.0,Raiders,Jeff Jaeger 20 yard field goal,3,6
3,3.0,Raiders,Jeff Jaeger 49 yard field goal,3,9
4,4.0,Raiders,Jeff Jaeger 41 yard field goal,3,12
5,4.0,49ers,Mike Cofer 25 yard field goal,6,12
