,Quarter,Tm,Detail,SDG,RAM
0,1.0,Rams,Jack Snow 17 yard pass from Roman Gabriel (David Ray kick),0,7
1,1.0,Rams,David Ray 27 yard field goal,0,10
2,2.0,Rams,Les Josephson 12 yard rush (David Ray kick),0,17
3,2.0,Rams,Pat Curran special teams fumble recovery in end zone (David Ray kick),0,24
4,2.0,Chargers,Mike Mercer 30 yard field goal,3,24
5,2.0,Rams,David Ray 10 yard field goal,3,27
6,2.0,Rams,David Ray 38 yard field goal,3,30
7,3.0,Chargers,Willie Frazier 6 yard pass from Marty Domres (Mike Mercer kick),10,30
8,4.0,Rams,Jack Snow 20 yard pass from Karl Sweetan (David Ray kick),10,37
