,Quarter,Time,Tm,Detail,NOR,DAL
0,1.0,9:24,Cowboys,Brett Maher 26 yard field goal,0,3
1,1.0,0:57,Cowboys,Ezekiel Elliott 16 yard pass from Dak Prescott (Brett Maher kick),0,10
2,2.0,0:51,Cowboys,Brett Maher 46 yard field goal,0,13
3,3.0,10:00,Saints,Wil Lutz 33 yard field goal,3,13
4,3.0,1:08,Saints,Keith Kirkwood 30 yard pass from Drew Brees (Wil Lutz kick),10,13
