,Quarter,Time,Tm,Detail,SFO,STL
0,1.0,,49ers,Ted Popson 1 yard pass from Elvis Grbac (Jeff Wilkins kick),7,0
1,2.0,,49ers,Terry Kirby 1 yard rush (Jeff Wilkins kick),14,0
2,2.0,5:54,49ers,Ted Popson 9 yard pass from Elvis Grbac (Jeff Wilkins kick),21,0
3,3.0,5:54,Rams,Chip Lohmiller 28 yard field goal,21,3
4,4.0,5:54,49ers,Jerry Rice 31 yard pass from Elvis Grbac (Jeff Wilkins kick),28,3
5,4.0,1:46,Rams,Harold Green 3 yard pass from Tony Banks (Tony Banks run),28,11
