,Quarter,Time,Tm,Detail,PIT,DEN
0,2.0,10:10,Steelers,Shaun Suisham 21 yard field goal,3,0
1,2.0,5:16,Broncos,Knowshon Moreno 7 yard rush (Matt Prater kick),3,7
2,2.0,0:28,Steelers,Heath Miller 4 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,7
3,3.0,6:05,Steelers,Shaun Suisham 35 yard field goal,13,7
4,3.0,5:29,Broncos,Demaryius Thomas 71 yard pass from Peyton Manning (Matt Prater kick),13,14
5,4.0,14:11,Steelers,Mike Wallace 3 yard pass from Ben Roethlisberger (pass failed),19,14
6,4.0,9:23,Broncos,Jacob Tamme 1 yard pass from Peyton Manning (Willis McGahee pass from Peyton Manning),19,22
7,4.0,3:00,Broncos,Matt Prater 26 yard field goal,19,25
8,4.0,1:58,Broncos,Tracy Porter 43 yard interception return (run failed),19,31
