,Quarter,Tm,Detail,OAK,SFO
0,1.0,49ers,Larry Schreiber 5 yard pass from Tom Owen (Bruce Gossett kick),0,7
1,1.0,Raiders,Marv Hubbard 17 yard rush (George Blanda kick),7,7
2,2.0,49ers,Bruce Gossett 37 yard field goal,7,10
3,2.0,Raiders,Cliff Branch 64 yard pass from Ken Stabler (George Blanda kick),14,10
4,3.0,49ers,Delvin Williams 71 yard rush (Bruce Gossett kick),14,17
5,3.0,49ers,Terry Beasley 21 yard pass from Tom Owen (Bruce Gossett kick),14,24
6,3.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),21,24
7,3.0,Raiders,Dave Casper 2 yard pass from Ken Stabler (George Blanda kick),28,24
8,4.0,Raiders,Harold Hart 40 yard special teams fumble return (George Blanda kick),35,24
