,Quarter,Tm,Detail,DAL,NWE
0,1.0,Cowboys,Butch Johnson 28 yard pass from Danny White (Rafael Septien kick),7,0
1,1.0,Patriots,Don Calhoun 4 yard rush (John Smith kick),7,7
2,2.0,Cowboys,Rafael Septien 26 yard field goal,10,7
3,2.0,Cowboys,Tony Dorsett 75 yard rush (Rafael Septien kick),17,7
4,2.0,Patriots,Tony Collins 3 yard rush (John Smith kick),17,14
5,3.0,Patriots,Mosi Tatupu 38 yard rush (John Smith kick),17,21
6,3.0,Cowboys,Billy Joe DuPree 1 yard pass from Danny White (Rafael Septien kick),24,21
7,4.0,Cowboys,Rafael Septien 26 yard field goal,27,21
8,4.0,Cowboys,"Safety, intentional grounding in end zone by Cavanaugh",29,21
9,4.0,Cowboys,Rafael Septien 27 yard field goal,32,21
10,4.0,Cowboys,Rafael Septien 25 yard field goal,35,21
