,Quarter,Tm,Detail,OAK,CHI
0,1,Raiders,Errol Mann 42 yard field goal,3,0
1,2,Bears,Bob Thomas 25 yard field goal,3,3
2,2,Raiders,Errol Mann 35 yard field goal,6,3
3,2,Bears,Mike Spivey 71 yard blocked field goal return,6,9
4,3,Raiders,Errol Mann 34 yard field goal,9,9
5,4,Bears,Roland Harper 1 yard rush (Bob Thomas kick),9,16
6,4,Raiders,Terry Robiskie 5 yard rush (Errol Mann kick),16,16
7,4,Bears,Bob Thomas 24 yard field goal,16,19
8,4,Raiders,Errol Mann 29 yard field goal,19,19
9,OT,Raiders,Arthur Whittington 1 yard rush,25,19
