,Quarter,Tm,Detail,PHI,BKN
0,1.0,Eagles,John Cole 45 yard field goal,3,0
1,2.0,Dodgers,Perry Schwartz unknown yard pass from Ace Parker (Ace Parker kick),3,7
2,2.0,Dodgers,Art Jocher 2 yard pass from Dick Cassiano (Ralph Kercheval kick),3,14
3,2.0,Dodgers,Ralph Kercheval 24 yard field goal,3,17
4,3.0,Eagles,Elmer Hackney 1 yard rush (Fran Murray kick),10,17
5,4.0,Eagles,Davey O'Brien 10 yard rush (Fran Murray kick),17,17
6,4.0,Dodgers,Pug Manders 1 yard rush,17,23
7,4.0,Dodgers,Ace Parker 2 yard rush (Ace Parker kick),17,30
