,Quarter,Tm,Detail,NYY,NYG
0,2.0,Yankees,Gibby Welch 9 yard pass from Wild Bill Kelly,6,0
1,4.0,Yankees,Red Smith 2 yard rush (Red Smith kick),13,0
2,4.0,Giants,Hinkey Haines 17 yard rush (Mule Wilson kick),13,7
3,4.0,Yankees,Gibby Welch 55 yard pass from Wild Bill Kelly,19,7
4,4.0,Giants,Hinkey Haines 4 yard rush,19,13
