,Quarter,Tm,Detail,ATL,DET
0,1.0,Lions,Earl McCullouch 13 yard pass from Greg Landry (Errol Mann kick),0,7
1,2.0,Lions,Bill Triplett 1 yard rush (Errol Mann kick),0,14
2,2.0,Falcons,Gail Cogdill 11 yard pass from Randy Johnson (Bob Etter kick),7,14
3,2.0,Lions,Bobby Williams 96 yard kickoff return (Errol Mann kick),7,21
4,2.0,Lions,Errol Mann 13 yard field goal,7,24
5,3.0,Falcons,Cannonball Butler 1 yard rush (Bob Etter kick),14,24
6,4.0,Lions,Errol Mann 34 yard field goal,14,27
7,4.0,Falcons,Cannonball Butler 45 yard pass from Randy Johnson (Bob Etter kick),21,27
