,Quarter,Time,Tm,Detail,PHI,ATL
0,1.0,9:33,Falcons,Matt Bryant 50 yard field goal,0,3
1,2.0,10:50,Eagles,Jake Elliott 34 yard field goal,3,3
2,2.0,5:04,Falcons,Calvin Ridley 34 yard pass from Matt Ryan (Matt Bryant kick),3,10
3,2.0,0:03,Eagles,Jake Elliott 41 yard field goal,6,10
4,3.0,13:31,Falcons,Julio Jones 4 yard pass from Matt Ryan (Matt Bryant kick),6,17
5,3.0,5:03,Eagles,Nelson Agholor 4 yard pass from Carson Wentz (run failed),12,17
6,4.0,3:16,Eagles,Carson Wentz 1 yard rush (Zach Ertz pass from Carson Wentz ),20,17
7,4.0,2:20,Falcons,Julio Jones 54 yard pass from Matt Ryan (Matt Bryant kick),20,24
