,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Don Herrmann 42 yard pass from Fran Tarkenton (Pete Gogolak kick),0,7
1,1.0,Giants,Freeman White 23 yard pass from Fran Tarkenton (Pete Gogolak kick),0,14
2,2.0,Bears,Bob Wallace 8 yard pass from Jack Concannon (Mac Percival kick),7,14
3,2.0,Giants,Don Herrmann 17 yard pass from Fran Tarkenton (Pete Gogolak kick),7,21
4,2.0,Bears,Austin Denney 15 yard pass from Jack Concannon (Mac Percival kick),14,21
5,3.0,Bears,Jack Concannon 1 yard rush (Mac Percival kick),21,21
6,4.0,Bears,Mac Percival 25 yard field goal,24,21
7,4.0,Giants,Joe Morrison 26 yard pass from Fran Tarkenton (Pete Gogolak kick),24,28
