,Quarter,Time,Tm,Detail,SDG,DEN
0,1.0,,Broncos,Mike Pritchard 50 yard pass from John Elway (Jason Elam kick),0,7
1,1.0,,Broncos,Leonard Russell 22 yard rush (Jason Elam kick),0,14
2,1.0,,Broncos,Jason Elam 25 yard field goal,0,17
3,1.0,,Chargers,Alfred Pupunu 22 yard pass from Stan Humphries (run failed),6,17
4,2.0,,Broncos,Glyn Milburn 8 yard pass from John Elway (Jason Elam kick),6,24
5,2.0,,Chargers,Shawn Jefferson 47 yard pass from Stan Humphries (John Carney kick),13,24
6,2.0,,Chargers,Mark Seay 29 yard pass from Stan Humphries (pass failed),19,24
7,2.0,,Chargers,Stanley Richard 99 yard interception return (Ronnie Harmon run),27,24
8,3.0,,Broncos,Jason Elam 42 yard field goal,27,27
9,3.0,,Chargers,John Carney 27 yard field goal,30,27
10,4.0,,Broncos,Shannon Sharpe 5 yard pass from John Elway (Jason Elam kick),30,34
11,4.0,,Chargers,Natrone Means 1 yard rush (John Carney kick),37,34
