,Quarter,Tm,Detail,SEA,SDG
0,2.0,Seahawks,Steve Largent 34 yard pass from Jim Zorn (Efren Herrera kick),7,0
1,2.0,Chargers,Rolf Benirschke 47 yard field goal,7,3
2,2.0,Chargers,Kellen Winslow 9 yard pass from Dan Fouts (Rolf Benirschke kick),7,10
3,3.0,Chargers,Charlie Joiner 12 yard pass from Dan Fouts (Rolf Benirschke kick),7,17
4,4.0,Seahawks,Efren Herrera 20 yard field goal,10,17
5,4.0,Chargers,Charlie Joiner 11 yard pass from Dan Fouts (Rolf Benirschke kick),10,24
