,Quarter,Time,Tm,Detail,ATL,CAR
0,2.0,9:19,Falcons,Terance Mathis 11 yard pass from Chris Chandler (Morten Andersen kick),7,0
1,2.0,1:57,Panthers,Wesley Walls 6 yard pass from Kerry Collins (John Kasay kick),7,7
2,3.0,7:24,Falcons,"Safety, Walters fell on punt snap in end zone",9,7
3,3.0,3:07,Falcons,Tim Dwight 44 yard pass from Chris Chandler (Morten Andersen kick),16,7
4,3.0,2:07,Panthers,Rocket Ismail 56 yard pass from Kerry Collins (John Kasay kick),16,14
5,4.0,9:27,Falcons,Morten Andersen 43 yard field goal,19,14
