,Quarter,Tm,Detail,BUF,IND
0,1.0,Bills,Ronnie Harmon 12 yard pass from Jim Kelly (Scott Norwood kick),7,0
1,2.0,Bills,Scott Norwood 39 yard field goal,10,0
2,2.0,Colts,Dean Biasucci 30 yard field goal,10,3
3,2.0,Bills,Scott Norwood 25 yard field goal,13,3
4,4.0,Bills,Trumaine Johnson 8 yard pass from Jim Kelly (Scott Norwood kick),20,3
5,4.0,Bills,Bruce Smith defensive fumble recovery in end zone (Scott Norwood kick),27,3
