,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,Mike Lansford 23 yard field goal,3,0
1,2.0,49ers,Brent Jones 20 yard pass from Joe Montana (Mike Cofer kick),3,7
2,2.0,49ers,Roger Craig 1 yard rush (Mike Cofer kick),3,14
3,2.0,49ers,John Taylor 18 yard pass from Joe Montana (Mike Cofer kick),3,21
4,3.0,49ers,Mike Cofer 28 yard field goal,3,24
5,4.0,49ers,Mike Cofer 36 yard field goal,3,27
6,4.0,49ers,Mike Cofer 25 yard field goal,3,30
