,Quarter,Tm,Detail,PIT,SDG
0,2.0,Chargers,Darren Flutie 6 yard pass from Mark Malone (Steve DeLine kick),0,7
1,2.0,Chargers,Mark Malone 1 yard rush (Steve DeLine kick),0,14
2,4.0,Chargers,Steve DeLine 24 yard field goal,0,17
3,4.0,Steelers,Preston Gothard 3 yard pass from Bubby Brister (Gary Anderson kick),7,17
4,4.0,Steelers,Bubby Brister 3 yard rush (Gary Anderson kick),14,17
5,4.0,Chargers,Steve DeLine 42 yard field goal,14,20
