,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Norm Johnson 28 yard field goal,0,3
1,2.0,Seahawks,Norm Johnson 46 yard field goal,0,6
2,2.0,Chargers,Wes Chandler 3 yard pass from Mark Herrmann (Bob Thomas kick),7,6
3,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),7,13
4,4.0,Seahawks,Curt Warner 18 yard rush,7,19
5,4.0,Chargers,Wes Chandler 6 yard pass from Mark Herrmann (Bob Thomas kick),14,19
6,4.0,Seahawks,Steve Largent 14 yard pass from Dave Krieg (Norm Johnson kick),14,26
7,4.0,Chargers,Charlie Joiner 9 yard pass from Mark Herrmann (Bob Thomas kick),21,26
