,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Dante Lavelli 12 yard pass from Otto Graham (Lou Groza kick),7,0
1,2.0,Browns,Lou Groza 21 yard field goal,10,0
2,3.0,Browns,Carl Taseff 1 yard rush (Lou Groza kick),17,0
3,3.0,Eagles,"Safety, Graham tackled in end zone by Stickel",17,2
4,4.0,Browns,Rex Bumgardner 18 yard pass from Otto Graham (Lou Groza kick),24,2
5,4.0,Eagles,Bobby Walston 11 yard pass from Adrian Burk (Bobby Walston kick),24,9
