,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,7:29,Chiefs,Priest Holmes 10 yard rush (Todd Peterson kick),7,0
1,1.0,5:20,Chiefs,Todd Peterson 43 yard field goal,10,0
2,1.0,1:54,Raiders,Tyrone Wheatley 6 yard rush (Sebastian Janikowski kick),10,7
3,2.0,14:49,Chiefs,Priest Holmes 67 yard pass from Trent Green (Todd Peterson kick),17,7
4,2.0,12:34,Raiders,Rich Gannon 5 yard rush (Sebastian Janikowski kick),17,14
5,2.0,0:36,Raiders,Jerry Rice 8 yard pass from Rich Gannon (Sebastian Janikowski kick),17,21
6,3.0,11:34,Raiders,Tim Brown 88 yard punt return (Sebastian Janikowski kick),17,28
7,3.0,9:47,Chiefs,Todd Peterson 36 yard field goal,20,28
8,4.0,1:38,Chiefs,Tony Gonzalez 24 yard pass from Trent Green (pass failed),26,28
