,Quarter,Tm,Detail,DET,TAM
0,1,Buccaneers,Donald Igwebuike 33 yard field goal,0,3
1,2,Lions,James Jones 1 yard rush (Eddie Murray kick),7,3
2,2,Buccaneers,Donald Igwebuike 48 yard field goal,7,6
3,3,Lions,Eddie Murray 47 yard field goal,10,6
4,3,Lions,Eddie Murray 38 yard field goal,13,6
5,4,Lions,Eddie Murray 39 yard field goal,16,6
6,4,Buccaneers,James Wilder 6 yard rush (Donald Igwebuike kick),16,13
7,4,Buccaneers,Donald Igwebuike 36 yard field goal,16,16
8,OT,Buccaneers,Donald Igwebuike 24 yard field goal,16,19
