,Quarter,Tm,Detail,STL,RAI
0,1.0,Raiders,Kenny King 34 yard pass from Jim Plunkett (Chris Bahr kick),0,7
1,1.0,Raiders,Chris Bahr 22 yard field goal,0,10
2,1.0,Raiders,Cliff Branch 5 yard pass from Jim Plunkett (Chris Bahr kick),0,17
3,2.0,Cardinals,Ottis Anderson 1 yard rush (Neil O'Donoghue kick),7,17
4,2.0,Raiders,Marcus Allen 20 yard pass from Jim Plunkett (Chris Bahr kick),7,24
5,2.0,Cardinals,Doug Marsh 1 yard pass from Neil Lomax,13,24
6,2.0,Cardinals,Elois Grooms 40 yard defensive fumble return (Neil O'Donoghue kick),20,24
7,3.0,Cardinals,Wayne Morris 3 yard rush (Neil O'Donoghue kick),27,24
8,4.0,Cardinals,Pat Tilley 15 yard pass from Neil Lomax (Neil O'Donoghue kick),34,24
