,Quarter,Tm,Detail,WAS,CHI
0,1.0,Redskins,Mark Moseley 38 yard field goal,3,0
1,1.0,Redskins,Neal Olkewicz 10 yard interception return (Mark Moseley kick),10,0
2,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),17,0
3,4.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),24,0
4,4.0,Bears,Marcus Anderson 43 yard pass from Mike Phipps (John Roveto kick),24,7
