,Quarter,Tm,Detail,ATL,RAM
0,2.0,Falcons,Mick Luckhurst 44 yard field goal,3,0
1,2.0,Rams,Henry Ellard 64 yard pass from Dieter Brock (Mike Lansford kick),3,7
2,2.0,Rams,Mike Lansford 52 yard field goal,3,10
3,3.0,Falcons,Mick Luckhurst 47 yard field goal,6,10
4,3.0,Rams,Bobby Duckworth 13 yard pass from Dieter Brock (Mike Lansford kick),6,17
