,Quarter,Tm,Detail,RAI,SDG
0,1.0,Raiders,Jeff Jaeger 20 yard field goal,3,0
1,2.0,Raiders,Jeff Jaeger 20 yard field goal,6,0
2,3.0,Raiders,Jeff Jaeger 37 yard field goal,9,0
3,4.0,Raiders,Jeff Jaeger 27 yard field goal,12,0
4,4.0,Chargers,Nate Lewis 9 yard pass from Stan Humphries (John Carney kick),12,7
