,Quarter,Tm,Detail,KAN,OAK
0,1.0,Chiefs,Ed Podolak 1 yard rush (Jan Stenerud kick),7,0
1,1.0,Raiders,George Blanda 17 yard field goal,7,3
2,2.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),7,10
3,2.0,Chiefs,Ed Podolak 2 yard rush (Jan Stenerud kick),14,10
4,3.0,Chiefs,Jan Stenerud 12 yard field goal,17,10
5,4.0,Chiefs,Jan Stenerud 37 yard field goal,20,10
6,4.0,Raiders,Fred Biletnikoff 24 yard pass from George Blanda (George Blanda kick),20,17
7,4.0,Raiders,George Blanda 8 yard field goal,20,20
