,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,Armand Niccolai 48 yard field goal,0,3
1,1.0,Steelers,Lou Tomasetti 26 yard pass from Billy Patterson (Armand Niccolai kick),0,10
2,3.0,Giants,Lee Shaffer 1 yard rush (Ward Cuff kick),7,10
3,4.0,Giants,Len Barnum 31 yard field goal,10,10
