,Quarter,Tm,Detail,MIN,RAM
0,1,Rams,Joe Harris 51 yard blocked punt return (Frank Corral kick),0,7
1,1,Vikings,Terry LeCount 36 yard pass from Tommy Kramer (Rick Danmeier kick),7,7
2,2,Vikings,Sammy White 6 yard pass from Tommy Kramer (Rick Danmeier kick),14,7
3,2,Rams,Cullen Bryant 2 yard rush (Frank Corral kick),14,14
4,3,Rams,Preston Dennard 41 yard pass from Bob Lee (Frank Corral kick),14,21
5,4,Vikings,Ahmad Rashad 22 yard pass from Tommy Kramer (Rick Danmeier kick),21,21
6,OT,Rams,Nolan Cromwell 5 yard rush,21,27
